,herocompare,herocompare_name,itemhero,itemhero_name,skill,skill_WR,tandem_WR,item0,item_WR0,item_name0,item1,item_WR1,item_name1,item2,item_WR2,item_name2,item3,item_WR3,item_name3,item4,item_WR4,item_name4
11890,38,Beastmaster,111,Oracle,E,0.5254237288135594,0.425,36.0,0.4035087719298245,Magic Wand,180.0,0.3018867924528302,Arcane Boots,79.0,0.2962962962962963,Mekansm,232.0,0.5116279069767442,Aether Lens,92.0,0.5,Urn of Shadows
11891,39,Queen of Pain,111,Oracle,Q,0.75,0.5318559556786704,36.0,0.5283018867924528,Magic Wand,180.0,0.4388489208633093,Arcane Boots,79.0,0.4883720930232558,Mekansm,37.0,0.5142857142857142,Ghost Scepter,232.0,0.6410256410256411,Aether Lens
11892,40,Venomancer,111,Oracle,E,0.54,0.45977011494252873,36.0,0.4210526315789473,Magic Wand,180.0,0.3692307692307693,Arcane Boots,37.0,0.8235294117647058,Ghost Scepter,79.0,0.4594594594594595,Mekansm,92.0,0.5263157894736842,Urn of Shadows
11893,41,Faceless Void,111,Oracle,E,0.4615384615384616,0.4474708171206226,36.0,0.5,Magic Wand,180.0,0.405940594059406,Arcane Boots,232.0,0.5514018691588785,Aether Lens,79.0,0.2962962962962963,Mekansm,31.0,0.25,Cloak
11894,42,Wraith King,111,Oracle,Q,0.5714285714285714,0.3936781609195402,36.0,0.4228187919463087,Magic Wand,180.0,0.3582089552238806,Arcane Boots,79.0,0.3,Mekansm,37.0,0.4583333333333333,Ghost Scepter,214.0,0.3,Tranquil Boots
11895,43,Death Prophet,111,Oracle,Q,0.75,0.4972972972972973,36.0,0.4886363636363636,Magic Wand,180.0,0.391304347826087,Arcane Boots,214.0,0.5757575757575758,Tranquil Boots,79.0,0.4146341463414634,Mekansm,1.0,0.8181818181818182,Blink Dagger
11896,44,Phantom Assassin,111,Oracle,E,0.4304635761589404,0.4333958724202627,36.0,0.4553191489361702,Magic Wand,180.0,0.3238095238095238,Arcane Boots,79.0,0.3461538461538461,Mekansm,214.0,0.3628318584070797,Tranquil Boots,232.0,0.5460526315789473,Aether Lens
11897,45,Pugna,111,Oracle,E,0.4651162790697674,0.39285714285714285,36.0,0.375,Magic Wand,180.0,0.3166666666666667,Arcane Boots,79.0,0.3055555555555556,Mekansm,1.0,0.68,Blink Dagger,232.0,0.4651162790697674,Aether Lens
11898,46,Templar Assassin,111,Oracle,E,0.3620689655172414,0.37656903765690375,36.0,0.3917525773195876,Magic Wand,180.0,0.2792792792792793,Arcane Boots,79.0,0.2962962962962963,Mekansm,214.0,0.3404255319148936,Tranquil Boots,37.0,0.5294117647058824,Ghost Scepter
11899,47,Viper,111,Oracle,E,0.45,0.42857142857142855,36.0,0.4742268041237113,Magic Wand,180.0,0.3333333333333333,Arcane Boots,79.0,0.3653846153846154,Mekansm,214.0,0.3488372093023256,Tranquil Boots,1.0,0.6785714285714286,Blink Dagger
