,herocompare,herocompare_name,itemhero,itemhero_name,skill,skill_WR,tandem_WR,item0,item_WR0,item_name0,item1,item_WR1,item_name1,item2,item_WR2,item_name2,item3,item_WR3,item_name3,item4,item_WR4,item_name4,item5,item_WR5,item_name5
57,60,Night Stalker,1,Anti-Mage,Q,0.4747474747474748,0.4708860759493671,63.0,0.4419410745233969,Power Treads,145.0,0.4782034346103038,Battle Fury,143.0,0.5538461538461539,Skull Basher,147.0,0.5823817292006526,Manta Style,81.0,0.5335365853658537,Vladmir's Offering,48.0,0.6474358974358975,Boots of Travel
58,61,Broodmother,1,Anti-Mage,E,0.6666666666666666,0.34220532319391633,63.0,0.2748815165876777,Power Treads,48.0,0.7619047619047619,Boots of Travel,145.0,0.3415637860082305,Battle Fury,143.0,0.4137931034482759,Skull Basher,81.0,0.4396551724137931,Vladmir's Offering,147.0,0.4387755102040816,Manta Style
59,62,Bounty Hunter,1,Anti-Mage,W,0.5173210161662818,0.4761331728840754,63.0,0.4382911392405063,Power Treads,145.0,0.4864061172472388,Battle Fury,147.0,0.5699404761904762,Manta Style,81.0,0.5168756027000965,Vladmir's Offering,48.0,0.6782407407407407,Boots of Travel,143.0,0.4898373983739837,Skull Basher
60,63,Weaver,1,Anti-Mage,Q,0.5202702702702703,0.49038461538461536,63.0,0.4246376811594203,Power Treads,145.0,0.505166475315729,Battle Fury,48.0,0.776595744680851,Boots of Travel,143.0,0.5229357798165137,Skull Basher,147.0,0.6197771587743732,Manta Style,81.0,0.5592783505154639,Vladmir's Offering
61,64,Jakiro,1,Anti-Mage,Q,0.4838709677419355,0.46626506024096387,63.0,0.4064516129032258,Power Treads,145.0,0.4763729246487867,Battle Fury,143.0,0.4731182795698925,Skull Basher,147.0,0.5734157650695518,Manta Style,48.0,0.7074829931972789,Boots of Travel,81.0,0.4873949579831933,Vladmir's Offering
62,65,Batrider,1,Anti-Mage,W,0.4605263157894737,0.39759036144578314,63.0,0.3497267759562842,Power Treads,145.0,0.4103671706263499,Battle Fury,81.0,0.4952830188679245,Vladmir's Offering,147.0,0.5,Manta Style,143.0,0.3434343434343434,Skull Basher,48.0,0.6153846153846154,Boots of Travel
63,66,Chen,1,Anti-Mage,W,0.44,0.37681159420289856,63.0,0.3333333333333333,Power Treads,145.0,0.3782383419689119,Battle Fury,81.0,0.4516129032258064,Vladmir's Offering,143.0,0.5714285714285714,Skull Basher,147.0,0.4934210526315789,Manta Style,48.0,0.6176470588235294,Boots of Travel
64,67,Spectre,1,Anti-Mage,E,0.6,0.4973821989528796,63.0,0.4659090909090909,Power Treads,145.0,0.5154639175257731,Battle Fury,143.0,0.5753424657534246,Skull Basher,147.0,0.6706408345752608,Manta Style,81.0,0.5632458233890215,Vladmir's Offering,247.0,0.9583333333333334,Moon Shard
65,68,Ancient Apparition,1,Anti-Mage,W,0.459016393442623,0.4430290162774239,63.0,0.4007707129094412,Power Treads,145.0,0.4486692015209126,Battle Fury,147.0,0.5506726457399103,Manta Style,143.0,0.4945054945054945,Skull Basher,81.0,0.4832775919732442,Vladmir's Offering,48.0,0.6381322957198443,Boots of Travel
66,69,Doom,1,Anti-Mage,Q,0.3846153846153846,0.41238012205754143,63.0,0.3682432432432433,Power Treads,145.0,0.4185393258426967,Battle Fury,147.0,0.5179775280898876,Manta Style,143.0,0.4072398190045249,Skull Basher,48.0,0.6373626373626373,Boots of Travel,81.0,0.4511627906976744,Vladmir's Offering
